gene	gene_name	uniprot	druggability_score	hit_in_deg	human_offtarget	gut_microbiome_offtarget	betweenness_centrality
MPN_RS00295	MPN_RS00295	P75060	0.847	False	no_hit	no_hit	0.0
MPN_RS00300	MPN_RS00300			False	no_hit	no_hit	0.0
MPN_RS00305	MPN_RS00305	P75059	0.885	True	44.33	0.759	0.0
MPN_RS00310	MPN_RS00310	P75058	0.693	True	no_hit	0.001	0.0
MPN_RS00315	MPN_RS00315	P75057	0.677	True	no_hit	0.002	0.0
MPN_RS00320	MPN_RS00320	P75056	0.762	True	no_hit	no_hit	0.0
MPN_RS00325	tsaD	P75055	0.642	True	37.572	0.001	0.0252410131861651
MPN_RS00330	metK	P78003	0.672	True	38.71	0.79	0.0294108556350032
MPN_RS00335	MPN_RS00335			False	no_hit	no_hit	0.0
MPN_RS00340	ffh	P75054	0.755	True	33.223	0.944	0.0
MPN_RS00345	deoD	P75053	0.351	True	no_hit	0.98	0.053717868555003
MPN_RS00350	deoC	P09924	0.487	True	35.632	0.991	0.0050303547934922
MPN_RS00355	MPN_RS00355	P75052	0.266	False	48.889	0.175	0.0039812255798601
MPN_RS00360	cdd	P75051	0.67	True	36.752	0.113	0.0
MPN_RS00365	MPN_RS00365	P75050	0.757	True	27.941	no_hit	0.0261111011003443
MPN_RS00370	nusG	P75049	0.739	True	no_hit	no_hit	0.0
MPN_RS00375	secE	P75048		True	no_hit	no_hit	0.0
MPN_RS00380	rpmG	P56850	0.756	True	no_hit	0.029	0.0
MPN_RS00385	MPN_RS00385	P75047	0.882	True	no_hit	no_hit	0.0
MPN_RS00390	rsmI	P75046	0.696	True	no_hit	0.003	0.0
MPN_RS00395	rnmV	P75045	0.798	True	no_hit	0.011	0.0
MPN_RS00400	prs	P75044	0.573	True	54.237	0.989	0.3786137118090208
MPN_RS04050	smpB	P75043	0.071	True	no_hit	0.433	0.0
MPN_RS00405	MPN_RS00405	P75042	0.761	True	no_hit	0.02	0.0
MPN_RS00410	MPN_RS00410	P75041	0.932	True	no_hit	no_hit	0.0
MPN_RS00415	MPN_RS00415	P75040	0.82	True	no_hit	no_hit	0.0
MPN_RS00425	MPN_RS00425	P75039	0.884	False	no_hit	no_hit	0.0
MPN_RS00430	MPN_RS00430	P75038	0.634	False	no_hit	no_hit	0.0
MPN_RS03875	MPN_RS03875			False	no_hit	no_hit	0.0
MPN_RS00435	MPN_RS00435	P75613	0.752	True	no_hit	no_hit	0.0
MPN_RS00440	MPN_RS00440	P75612	0.668	True	38.462	0.989	0.0
MPN_RS00445	MPN_RS00445	P75611	0.524	True	34.862	0.005	0.4592098339212018
MPN_RS00450	MPN_RS00450	P75610	0.735	False	no_hit	no_hit	0.0
MPN_RS00455	MPN_RS00455	P75609	0.441	True	no_hit	no_hit	0.0
MPN_RS00460	MPN_RS00460	P75608	0.901	False	no_hit	no_hit	0.0
MPN_RS00465	MPN_RS00465	P75607	0.761	False	no_hit	no_hit	0.0
MPN_RS00470	MPN_RS00470	P75606	0.941	False	no_hit	no_hit	0.0
MPN_RS00475	MPN_RS00475			False	no_hit	no_hit	0.0
MPN_RS00480	MPN_RS00480			False	no_hit	no_hit	0.0
MPN_RS00485	MPN_RS00485	P75605		False	no_hit	no_hit	0.0
MPN_RS03880	MPN_RS03880			False	no_hit	no_hit	0.0
MPN_RS00490	MPN_RS00490	P75604	0.765	True	no_hit	0.079	0.0
MPN_RS00495	MPN_RS00495	P75603	0.858	False	no_hit	no_hit	0.0
MPN_RS00500	MPN_RS00500	P75602	0.38	False	no_hit	no_hit	0.0
MPN_RS00505	MPN_RS00505	P75599	0.363	True	no_hit	no_hit	0.0
MPN_RS00510	MPN_RS00510	P75598	0.801	False	no_hit	no_hit	0.0
MPN_RS00515	MPN_RS00515			False	no_hit	no_hit	0.0
MPN_RS03965	MPN_RS03965	P75597	0.925	False	no_hit	0.001	0.0
MPN_RS03970	MPN_RS03970	P75596	0.814	False	no_hit	no_hit	0.0
MPN_RS00545	MPN_RS00545	P75595	0.596	True	90.323	no_hit	0.0
MPN_RS00550	MPN_RS00550	P75594	0.718	True	no_hit	no_hit	0.0
MPN_RS00560	MPN_RS00560			False	no_hit	no_hit	0.0
MPN_RS00565	MPN_RS00565	P75592	0.43	False	no_hit	no_hit	0.0
MPN_RS00585	MPN_RS00585	P75566	0.781	False	no_hit	no_hit	0.0
MPN_RS00590	MPN_RS00590	P75565		False	no_hit	no_hit	0.0
MPN_RS00595	MPN_RS00595			False	no_hit	no_hit	0.0
MPN_RS00600	pheS	P75564	0.707	True	31.507	0.146	0.0
MPN_RS00605	pheT	P75563	0.293	True	no_hit	no_hit	0.0
MPN_RS00610	MPN_RS00610	P75562	0.724	False	no_hit	0.003	0.0
MPN_RS00615	MPN_RS00615	P75561	0.603	False	no_hit	0.099	0.0
MPN_RS03975	MPN_RS03975	P75453	0.567	False	no_hit	0.001	0.0
MPN_RS00620	MPN_RS00620	P75452	0.611	False	no_hit	0.001	0.0
MPN_RS00625	MPN_RS00625			False	no_hit	no_hit	0.0
MPN_RS00630	MPN_RS00630	P75451	0.323	False	no_hit	0.098	0.0
MPN_RS00635	MPN_RS00635			False	no_hit	0.237	0.0
MPN_RS00640	MPN_RS00640	P75450	0.945	False	no_hit	0.002	0.0
MPN_RS00645	MPN_RS00645	P75449	0.755	False	no_hit	no_hit	0.0
MPN_RS00650	MPN_RS00650	P75448	0.79	False	25.209	no_hit	0.0
MPN_RS00655	infC	P78024	0.832	True	24.39	0.022	0.0
MPN_RS00660	rpmI	P75447	0.053	True	no_hit	0.717	0.0
MPN_RS00665	rplT	P78023	0.053	True	41.818	1.0	0.0
MPN_RS00670	MPN_RS00670	P75446	0.77	True	no_hit	0.001	0.0
MPN_RS00675	topJ	P75354	0.95	True	69.697	no_hit	0.0
MPN_RS00680	MPN_RS00680	P78017	0.815	True	no_hit	0.005	0.0
MPN_RS00685	MPN_RS00685	P75353	0.669	True	no_hit	no_hit	0.0
MPN_RS00695	parE	P78016	0.297	True	27.939	1.0	0.0
MPN_RS00700	parC	P75352	0.804	True	23.906	0.036	0.0
MPN_RS00705	hrcA	P75351	0.524	True	no_hit	no_hit	0.0
MPN_RS00715	MPN_RS00715	P75349	0.774	False	no_hit	no_hit	0.0
MPN_RS00725	MPN_RS00725			False	no_hit	no_hit	0.0
MPN_RS00735	MPN_RS00735	P75346	0.834	False	no_hit	no_hit	0.0
MPN_RS00750	MPN_RS00750	P75345	0.677	False	no_hit	no_hit	0.0
MPN_RS00755	MPN_RS00755			False	no_hit	no_hit	0.0
MPN_RS00760	MPN_RS00760	P75267	0.549	False	no_hit	no_hit	0.0
MPN_RS00765	MPN_RS00765	P75266	0.925	False	no_hit	no_hit	0.0
MPN_RS00770	MPN_RS00770	P75265	0.276	False	no_hit	no_hit	0.0
MPN_RS00775	MPN_RS00775	P75264	0.605	True	61.765	0.544	0.0
MPN_RS00780	MPN_RS00780	P75263	0.727	True	no_hit	0.001	0.0
MPN_RS00785	MPN_RS00785	P75262	0.8	True	no_hit	no_hit	0.0
MPN_RS03885	MPN_RS03885			False	no_hit	no_hit	0.0
MPN_RS00790	MPN_RS00790	P75261	0.803	False	no_hit	0.078	0.0
MPN_RS00795	MPN_RS00795	P75260	0.816	False	no_hit	0.19	0.0
MPN_RS00800	MPN_RS00800	P75259	0.726	False	no_hit	no_hit	0.0
MPN_RS00805	MPN_RS00805	P75144	0.658	True	no_hit	0.002	0.0
MPN_RS00810	mgpA	P11311	0.719	True	no_hit	no_hit	0.0
MPN_RS00815	mgpC	Q50341	0.863	True	no_hit	no_hit	0.0
MPN_RS00820	MPN_RS00820	P75143	0.839	False	no_hit	no_hit	0.0
MPN_RS03890	MPN_RS03890			False	no_hit	no_hit	0.0
MPN_RS00830	MPN_RS00830	P75141	0.19	False	no_hit	no_hit	0.0
MPN_RS00845	MPN_RS00845			False	no_hit	no_hit	0.0
MPN_RS04100	MPN_RS04100	P75037	0.792	False	no_hit	no_hit	0.0
MPN_RS00860	MPN_RS00860	P75035	0.458	False	no_hit	no_hit	0.0
MPN_RS00870	MPN_RS00870	P75033	0.602	False	26.667	no_hit	0.0
MPN_RS00880	MPN_RS00880			True	no_hit	no_hit	0.0
MPN_RS00885	infB	P75590	0.449	True	38.225	0.997	0.0
MPN_RS00890	rbfA	P75589	0.76	True	no_hit	no_hit	0.0
MPN_RS00895	MPN_RS00895	P75588	0.824	True	no_hit	no_hit	0.0
MPN_RS00900	ribF	P75587	0.532	True	31.496	no_hit	0.0
MPN_RS00905	MPN_RS00905	P75586	0.7	True	24.092	no_hit	0.0
MPN_RS00910	MPN_RS00910	P75585	0.866	True	no_hit	no_hit	0.0
MPN_RS00915	MPN_RS00915	P75584	0.547	True	no_hit	no_hit	0.0
MPN_RS00920	MPN_RS00920	P75583	0.663	False	no_hit	no_hit	0.0
MPN_RS00925	MPN_RS00925	P75582	0.639	True	no_hit	no_hit	0.0
MPN_RS00930	rpsJ	P75581		True	no_hit	0.691	0.0
MPN_RS00935	rplC	P75580	0.053	True	46.97	0.73	0.0
MPN_RS00940	rplD	P75579	0.053	True	59.459	0.106	0.0
MPN_RS00945	MPN_RS00945	P75578	0.053	True	no_hit	0.028	0.0
MPN_RS00950	rplB	P75577	0.053	True	38.991	1.0	0.0
MPN_RS00955	rpsS	P75576		True	44.776	0.613	0.0
MPN_RS00960	rplV	P75575	0.053	True	no_hit	0.975	0.0
MPN_RS00965	rpsC	P41205		True	no_hit	0.932	0.0
MPN_RS00970	rplP	P41204	0.053	True	no_hit	0.998	0.0
MPN_RS00975	rpmC	Q50310	0.053	True	no_hit	0.071	0.0
MPN_RS00980	rpsQ	Q50309		True	no_hit	1.0	0.0
MPN_RS00985	rplN	Q50308	0.053	True	42.623	0.792	0.0
MPN_RS00990	rplX	Q50307	0.053	True	no_hit	0.257	0.0
MPN_RS00995	rplE	Q50306	0.053	True	30.303	1.0	0.0
MPN_RS01000	MPN_RS01000	Q50305		True	no_hit	0.523	0.0
MPN_RS01005	rpsH	Q50304		True	26.357	1.0	0.0
MPN_RS01010	rplF	Q50303	0.053	True	no_hit	0.973	0.0
MPN_RS01015	rplR	Q50302	0.053	True	no_hit	0.763	0.0
MPN_RS01020	rpsE	Q50301		True	38.235	0.998	0.0
MPN_RS01025	rplO	Q50300	0.053	True	29.839	0.358	0.0
MPN_RS01030	secY	Q59548	0.603	True	no_hit	0.007	0.0
MPN_RS01035	MPN_RS01035	Q50299	0.701	True	36.975	0.003	0.0
MPN_RS01040	map	Q11132	0.657	True	26.19	no_hit	0.0
MPN_RS01045	infA	Q50298	0.458	True	no_hit	0.735	0.0
MPN_RS01050	rpmJ	P52864	0.053	True	no_hit	0.187	0.0
MPN_RS01055	rpsM	Q50297		True	30.769	1.0	0.0
MPN_RS01060	rpsK	Q50296		True	36.792	0.999	0.0
MPN_RS01065	rpoA	Q50295	0.73	True	no_hit	0.02	0.0
MPN_RS01070	rplQ	Q59547	0.053	True	26.415	0.164	0.0
MPN_RS01075	MPN_RS01075	Q50294	0.445	True	34.973	0.726	0.0
MPN_RS01080	MPN_RS01080	Q50293	0.232	True	33.937	0.559	0.0
MPN_RS01085	MPN_RS01085	Q50292	0.872	True	no_hit	0.259	0.0
MPN_RS01090	truA	Q50291	0.274	True	28.571	0.002	0.0
MPN_RS01095	pepF	P54125	0.501	True	no_hit	no_hit	0.0
MPN_RS01100	MPN_RS01100	Q50290	0.763	True	no_hit	0.075	0.0
MPN_RS01105	MPN_RS01105	Q50289	0.67	True	no_hit	no_hit	0.0
MPN_RS01110	MPN_RS01110			False	no_hit	no_hit	0.0
MPN_RS01115	MPN_RS01115	Q50288	0.891	True	no_hit	no_hit	0.0
MPN_RS01120	MPN_RS01120	Q50287	0.598	True	no_hit	0.082	0.0
MPN_RS01145	MPN_RS01145	P75572	0.541	False	no_hit	no_hit	0.0
MPN_RS03985	MPN_RS03985	P75570	0.897	False	no_hit	no_hit	0.0
MPN_RS01165	MPN_RS01165	P75569	0.82	True	no_hit	0.002	0.0
MPN_RS01175	rpsB	P75560		True	33.684	0.454	0.0
MPN_RS01180	MPN_RS01180	P78036	0.831	True	46.667	0.002	0.0
MPN_RS01185	secA	P75559	0.544	True	no_hit	0.848	0.0
MPN_RS01190	uvrB	P75558	0.622	True	29.688	1.0	0.0
MPN_RS01195	MPN_RS01195	P0CJ80	0.792	True	no_hit	no_hit	0.0
MPN_RS01200	MPN_RS01200	P75556		True	no_hit	no_hit	0.0
MPN_RS01205	MPN_RS01205	P75555	0.809	True	no_hit	no_hit	0.0
MPN_RS01210	MPN_RS01210	P75554	0.772	True	no_hit	no_hit	0.0
MPN_RS01215	MPN_RS01215	P75553	0.696	True	no_hit	no_hit	0.0
MPN_RS01220	MPN_RS01220	P75552	0.825	True	31.868	0.703	0.0
MPN_RS01225	MPN_RS01225	P75551	0.866	True	44.944	0.001	0.0
MPN_RS01230	rplK	P75550	0.053	True	35.385	0.995	0.0
MPN_RS01235	rplA	P78035	0.671	True	no_hit	0.999	0.0
MPN_RS01240	pth	P78034	0.612	True	34.646	0.056	0.0
MPN_RS01245	tilS	P75549	0.476	True	no_hit	0.002	0.0
MPN_RS01250	hprK	P75548	0.862	True	no_hit	0.003	0.0
MPN_RS01255	lgt	P75547	0.786	True	no_hit	no_hit	0.0
MPN_RS01260	rpsL	P75546		True	51.807	0.878	0.0
MPN_RS01265	rpsG	P75545		True	35.849	1.0	0.0
MPN_RS01270	fusA	P75544	0.524	True	67.347	1.0	0.0
MPN_RS01275	rpsF	P75543		True	no_hit	0.002	0.0
MPN_RS01280	MPN_RS01280	P75542	0.401	True	no_hit	0.004	0.0
MPN_RS01285	rpsR	P75541		True	no_hit	0.966	0.0
MPN_RS01290	rplI	P75540	0.053	True	no_hit	0.022	0.0
MPN_RS01295	MPN_RS01295	P75539	0.674	True	no_hit	0.071	0.0
MPN_RS01300	MPN_RS01300	P75538	0.697	True	no_hit	no_hit	0.0
MPN_RS01305	MPN_RS01305	P75537	0.875	False	no_hit	no_hit	0.0
MPN_RS01310	ung	P75536	0.798	True	34.286	no_hit	0.0
MPN_RS01315	gatC	P75535	0.649	True	no_hit	no_hit	0.0
MPN_RS01320	gatA	P75534	0.435	True	40.465	0.014	0.0
MPN_RS01325	gatB	P75533	0.564	True	37.931	0.013	0.0
MPN_RS01330	MPN_RS01330	P75532	0.811	True	no_hit	no_hit	0.0
MPN_RS01335	trxB	P75531	0.744	True	no_hit	0.097	0.0
MPN_RS01340	whiA	P75530	0.663	False	no_hit	no_hit	0.0
MPN_RS01345	secG	Q9EXD0	0.833	True	no_hit	0.001	0.0
MPN_RS01350	rnr	P75529	0.328	True	26.757	no_hit	0.0
MPN_RS01355	cdaM	P75528	0.579	True	no_hit	0.288	0.0
MPN_RS01360	def	P75527	0.871	True	no_hit	0.037	0.0
MPN_RS01365	gmk	P75526	0.604	True	41.818	0.809	0.0672780782445267
MPN_RS01370	MPN_RS01370	P75525	0.463	True	no_hit	no_hit	0.0
MPN_RS01375	MPN_RS01375	P75524	0.636	True	39.785	no_hit	0.0
MPN_RS01380	rsgA	P75523	0.867	True	no_hit	no_hit	0.0007283910299476
MPN_RS01385	MPN_RS01385	P78033	0.886	True	24.549	0.006	0.0525091373776154
MPN_RS01390	MPN_RS01390	P75522	0.844	False	31.288	no_hit	0.0012672970314269
MPN_RS01395	asnS	P75521	0.666	True	61.364	0.997	0.0
MPN_RS01400	pgsA	P75520	0.687	True	28.571	0.091	0.0536605582870911
MPN_RS01405	MPN_RS01405	Q9EXC9	0.794	True	no_hit	0.398	0.0
MPN_RS01410	MPN_RS01410	P75519	0.758	False	no_hit	no_hit	0.0
MPN_RS01415	MPN_RS01415	P75518	0.885	False	no_hit	no_hit	0.0
MPN_RS01420	galE	P75517	0.348	True	45.455	0.015	0.0139163560809527
MPN_RS01425	MPN_RS01425	P75516	0.571	True	29.73	0.156	0.0
MPN_RS01430	MPN_RS01430	P75515	0.735	True	no_hit	no_hit	0.0
MPN_RS01435	MPN_RS01435	P75514	0.736	True	no_hit	no_hit	0.0
MPN_RS01440	topA	P78032	0.36	True	27.053	0.004	0.0
MPN_RS01445	MPN_RS01445	P75513	0.379	True	no_hit	no_hit	0.0
MPN_RS01450	trxA	P75512	0.717	True	47.368	0.381	0.0
MPN_RS01455	MPN_RS01455	P75511	0.849	True	no_hit	no_hit	0.0
MPN_RS01460	trpS	P75510	0.72	True	34.743	0.2	0.0
MPN_RS01465	MPN_RS01465	P75509	0.31	True	no_hit	0.009	0.0
MPN_RS01470	MPN_RS01470	P75508	0.445	True	no_hit	no_hit	0.0584641244075194
MPN_RS01475	MPN_RS01475	P75507	0.937	True	no_hit	no_hit	0.0
MPN_RS01480	MPN_RS01480	P75506	0.822	True	no_hit	no_hit	0.0
MPN_RS01485	MPN_RS01485	Q9EXD1	0.939	True	no_hit	no_hit	0.0
MPN_RS01490	MPN_RS01490	P75505	0.753	False	no_hit	no_hit	0.0
MPN_RS01505	MPN_RS01505	Q9EXD2		False	no_hit	no_hit	0.0
MPN_RS01510	MPN_RS01510	P75504	0.796	True	35.849	0.269	0.0
MPN_RS01515	MPN_RS01515	P75503	0.856	True	no_hit	no_hit	0.0
MPN_RS01520	MPN_RS01520	P75502	0.58	False	no_hit	0.019	0.0
MPN_RS01525	MPN_RS01525	P75501	0.776	True	no_hit	no_hit	0.0
MPN_RS01530	lysS	P75500	0.322	True	42.708	1.0	0.0
MPN_RS01535	glf	P75499	0.739	True	no_hit	no_hit	0.0
MPN_RS01545	MPN_RS01545	P75497	0.783	True	no_hit	0.058	0.0
MPN_RS01560	MPN_RS01560	P75494	0.574	False	no_hit	no_hit	0.0
MPN_RS01565	MPN_RS01565			False	no_hit	no_hit	0.0
MPN_RS01570	MPN_RS01570			False	no_hit	no_hit	0.0
MPN_RS01575	MPN_RS01575	P75493	0.488	True	80.645	no_hit	0.0
MPN_RS01580	MPN_RS01580	P75492	0.9	True	no_hit	0.156	0.0
MPN_RS01590	MPN_RS01590	P75490		False	no_hit	no_hit	0.0
MPN_RS01595	MPN_RS01595	P75489	0.86	False	no_hit	no_hit	0.0
MPN_RS01600	MPN_RS01600	P75488	0.033	True	no_hit	0.37	0.0
MPN_RS01605	MPN_RS01605	P75487	0.911	False	no_hit	0.034	0.0
MPN_RS01610	tsaB	P75486	0.744	True	no_hit	no_hit	0.0252410131861651
MPN_RS01615	MPN_RS01615	P75485	0.772	True	35.028	0.051	0.0
MPN_RS01620	lspA	P75484	0.778	True	no_hit	no_hit	0.0
MPN_RS01625	MPN_RS01625	P75483	0.579	False	no_hit	no_hit	0.0
MPN_RS01630	MPN_RS01630	P75482	0.87	True	no_hit	no_hit	0.0
MPN_RS01635	rpsU	P57079		True	no_hit	0.001	0.0
MPN_RS01640	MPN_RS01640	P75481	0.813	True	no_hit	no_hit	0.0
MPN_RS01645	MPN_RS01645	P75480	0.561	True	no_hit	0.011	0.0
MPN_RS01650	MPN_RS01650	P75479	0.829	True	33.333	0.009	0.0032655955850247
MPN_RS01655	scpA	P75478	0.841	True	no_hit	no_hit	0.0
MPN_RS01660	scpB	P75477	0.878	True	no_hit	0.089	0.0
MPN_RS01665	MPN_RS01665	P75476	0.582	True	53.488	0.044	0.0131372480411638
MPN_RS01670	pyk	P78031	0.531	True	36.735	0.2	0.2494578265423054
MPN_RS01730	arcC	P78030	0.82	False	no_hit	0.708	0.1488478732196561
MPN_RS01735	MPN_RS01735	P75472	0.847	False	no_hit	0.001	0.0
MPN_RS01740	MPN_RS01740	P0CJ81	0.934	True	no_hit	0.009	0.0
MPN_RS01745	hmw2	P75471	0.738	True	no_hit	no_hit	0.0
MPN_RS01750	MPN_RS01750	P75470	0.646	True	no_hit	no_hit	0.0
MPN_RS01755	MPN_RS01755	P75469	0.603	False	no_hit	no_hit	0.0
MPN_RS01760	MPN_RS01760	P75468	0.896	False	no_hit	no_hit	0.0
MPN_RS01770	mraZ	P75467	0.815	True	no_hit	0.011	0.0
MPN_RS01775	rsmH	P75466	0.682	True	36.31	0.54	0.0
MPN_RS01780	MPN_RS01780	P75465	0.818	True	no_hit	no_hit	0.0
MPN_RS01785	ftsZ	P75464	0.641	True	no_hit	no_hit	0.0
MPN_RS01790	MPN_RS01790	P75463	0.674	True	no_hit	no_hit	0.0
MPN_RS01795	MPN_RS01795	P75462	0.697	False	no_hit	no_hit	0.0
MPN_RS01800	MPN_RS01800	P78029	0.79	True	47.157	0.568	0.1072034201755282
MPN_RS01805	MPN_RS01805	P78028	0.687	True	no_hit	no_hit	0.1478590630283966
MPN_RS01810	nrdF	P75461	0.58	True	21.212	0.113	0.0
MPN_RS01815	nrdI	P75460	0.529	True	no_hit	0.125	0.0
MPN_RS01820	nrdE	P78027	0.444	True	29.897	0.241	0.0
MPN_RS01825	rplU	P78026	0.053	True	no_hit	0.677	0.0
MPN_RS01830	MPN_RS01830	P75459	0.754	True	no_hit	0.001	0.0
MPN_RS01835	rpmA	P75458	0.053	True	45.833	1.0	0.0
MPN_RS01840	MPN_RS01840	P75457	0.465	True	no_hit	0.185	0.0
MPN_RS01845	MPN_RS01845	P75456	0.541	True	no_hit	no_hit	0.0
MPN_RS01850	MPN_RS01850	P75455	0.664	False	no_hit	no_hit	0.0
MPN_RS01855	tig	P75454	0.695	False	no_hit	no_hit	0.0
MPN_RS01860	lon	P78025	0.518	True	49.068	0.301	0.0
MPN_RS01865	MPN_RS01865	P75445	0.796	False	no_hit	no_hit	0.0
MPN_RS01870	MPN_RS01870	P75444	0.703	False	29.851	0.003	0.0
MPN_RS01875	MPN_RS01875	P75443	0.501	False	no_hit	no_hit	0.0
MPN_RS01880	MPN_RS01880	P75442	0.777	True	no_hit	0.002	0.1493246893981374
MPN_RS01885	MPN_RS01885	P75441	0.577	True	no_hit	no_hit	0.0
MPN_RS01890	MPN_RS01890	P75440	0.657	True	no_hit	no_hit	0.0
MPN_RS01895	MPN_RS01895	P75439	0.88	True	no_hit	no_hit	0.0
MPN_RS01900	MPN_RS01900	P75438	0.611	False	no_hit	no_hit	0.0
MPN_RS01905	MPN_RS01905	P75437	0.445	False	no_hit	no_hit	0.0
MPN_RS01910	MPN_RS01910	P75436	0.367	False	no_hit	0.485	0.0
MPN_RS01915	MPN_RS01915	P75435	0.96	True	no_hit	0.207	0.0
MPN_RS04325	MPN_RS04325	P75434	0.317	False	no_hit	no_hit	0.0
MPN_RS01925	MPN_RS01925			False	no_hit	no_hit	0.0
MPN_RS01940	MPN_RS01940	P75431	0.563	False	no_hit	0.008	0.0
MPN_RS04240	MPN_RS04240			False	no_hit	no_hit	0.0
MPN_RS04140	MPN_RS04140			False	no_hit	no_hit	0.0
MPN_RS01950	MPN_RS01950	P75430	0.827	True	25.157	0.06	0.0
MPN_RS01955	MPN_RS01955	P75429	0.545	True	no_hit	0.063	0.0
MPN_RS01960	plsY	P75428	0.674	True	no_hit	0.004	0.1981613045333151
MPN_RS01965	MPN_RS01965	P75427	0.883	False	no_hit	no_hit	0.0
MPN_RS01970	MPN_RS01970	P78022	0.713	True	no_hit	0.96	0.0
MPN_RS01975	dnaG	P75426	0.914	True	no_hit	no_hit	0.0
MPN_RS01980	glyS	P75425	0.429	True	38.043	0.826	0.0
MPN_RS01985	rlmB	P75424	0.895	False	27.888	0.024	0.0
MPN_RS01990	cysS	P75423	0.463	True	46.914	0.003	0.0
MPN_RS01995	ligA	P78021	0.725	True	no_hit	0.087	0.2104002523482776
MPN_RS02005	MPN_RS02005	P75422	0.831	False	no_hit	no_hit	0.0
MPN_RS02020	MPN_RS02020	P75421	0.582	False	no_hit	no_hit	0.0
